parametro,id4cast
p1,0.531210396
p1,0.538979582
p1,0.526041859
p1,0.535128101
p1,0.516329609
p1,0.534362914
p1,0.539487401
p1,0.054854853
p1,0.053152434
p1,0.523288183
p1,0.529723615
p1,0.533162735
p1,0.545052619
p1,0.51574833
p1,0.54516902
p1,0.549656538
p1,0.542036912
p1,0.518532478
p1,0.536449326
p1,0.538046576
p1,0.531532924
p1,0.531477538
p1,0.537344627
p1,0.528728413
p1,0.526072217
p1,0.528479208
p1,0.535059552
p1,0.526582469
p1,0.513147738
p1,0.535528722
p1,0.515090269
p1,0.531070432
p1,0.51704187
p1,0.519421723
p1,0.533166347
p1,0.547259097
p1,0.519504152
p1,0.537217504
p1,0.538606735
p1,0.052536906
p1,0.5283991
p1,0.052797181
p1,0.533500927
p1,0.54095846
p1,0.538991203
p1,0.551899794
p1,0.538938318
p1,0.526754871
p1,0.53489208
p1,0.526527317
p1,0.524975415
p1,0.534678096
p1,0.546175851
p1,0.509776181
p1,0.524232053
p1,0.51971391
p1,0.521661587
p1,0.533581857
p1,0.53685869
p1,0.523459287
p1,0.513647663
p1,0.521427558
p1,0.534772015
p1,0.537977788
p1,0.526121721
p1,0.525380969
p1,0.535058837
p1,0.54057143
p1,0.526341728
p1,0.536930485
p1,0.527446931
p1,0.516817551
p1,0.515755545
p1,0.540377843
p1,0.529878775
p1,0.52531563
p1,0.539672694
p1,0.50754141
p1,0.514424565
p1,0.539494014
p1,0.530534442
p1,0.543685639
p1,0.526331026
p1,0.542400841
p1,0.519321667
p1,0.052600471
p1,0.537368925
p1,0.518303791
p1,0.536113148
p1,0.511391672
p1,0.531353877
p1,0.524925654
p1,0.545961991
p1,0.522711617
p1,0.508430669
p1,0.052294524
p1,0.533368573
p1,0.528046892
p1,0.523985489
p1,0.53060549
p1,0.00539396
p1,0.517224871
p1,0.531031919
p1,0.53958499
p1,0.534035115
p1,0.540590744
p1,0.529452403
p1,0.544920452
p1,0.541785387
p1,0.522533702
p1,0.00535314
p1,0.522781624
p1,0.541517397
p1,0.530123704
p1,0.547025726
p1,0.51198841
p1,0.524147353
p1,0.524272277
p1,0.518100148
p1,0.520350953
p1,0.514124113
p1,0.531993309
p1,0.519092693
p1,0.546539695
p1,0.528222057
p1,0.516507221
p1,0.548052492
p1,0.051098256
p1,0.524094069
p1,0.533484687
p1,0.054668976
p1,0.529874494
p1,0.539779794
p1,0.538295539
p1,0.54483655
p1,0.537119312
p1,0.520570751
p1,0.533132808
p1,0.052433744
p1,0.555107546
p1,0.52482302
p1,0.052293871
p1,0.052348658
p1,0.52150585
p1,0.524660143
p1,0.528883746
p1,0.528435856
p1,0.51976919
p1,0.529671991
p1,0.540443951
p1,0.524090908
p1,0.536855352
p1,0.545832546
p1,0.530214363
p1,0.053226241
p1,0.52650982
p1,0.53696053
p1,0.524918509
p1,0.523526399
p1,0.528585293
p1,0.054748118
p1,0.525189872
